56.338,36.601,32.107,11.266,19.183,26.18,16.305,14.249,58.526,50.607,16.927,28.018,50.521,27.243,21.928,35.198,69.523,40.441,10.755,48.705,16.81,17.54,8.3519,23.317,39.182,61.603,13.035,41.267,17.46,42.07,23.181,34.226
55.902,36.762,31.787,11.08,19.059,25.887,16.042,14.036,58.022,50.899,16.767,27.801,50.189,26.933,21.893,35.12,69.073,40.526,10.656,48.491,16.662,17.256,8.2581,22.967,39.189,61.94,12.87,41.158,17.257,41.653,22.911,33.84
55.467,36.899,31.47,10.904,18.936,25.596,15.782,13.825,57.521,51.165,16.608,27.584,49.858,26.626,21.854,35.021,68.598,40.579,10.564,48.259,16.521,16.983,8.1741,22.626,39.174,62.227,12.714,41.033,17.056,41.237,22.643,33.451
55.035,37.011,31.155,10.739,18.815,25.308,15.524,13.618,57.024,51.405,16.45,27.369,49.529,26.321,21.81,34.902,68.098,40.602,10.48,48.007,16.387,16.722,8.0995,22.292,39.137,62.465,12.566,40.891,16.856,40.82,22.377,33.058
54.604,37.099,30.843,10.584,18.694,25.021,15.27,13.412,56.531,51.622,16.293,27.155,49.201,26.018,21.762,34.764,67.575,40.596,10.402,47.738,16.26,16.473,8.0342,21.966,39.08,62.656,12.427,40.733,16.659,40.403,22.114,32.662
54.176,37.165,30.533,10.439,18.574,24.737,15.018,13.21,56.042,51.814,16.137,26.941,48.875,25.717,21.71,34.607,67.029,40.561,10.332,47.451,16.139,16.234,7.9778,21.647,39.003,62.799,12.295,40.559,16.464,39.987,21.852,32.262
53.75,37.207,30.225,10.303,18.455,24.455,14.769,13.01,55.556,51.983,15.982,26.729,48.551,25.419,21.655,34.432,66.462,40.498,10.269,47.147,16.024,16.006,7.9302,21.337,38.906,62.897,12.171,40.371,16.271,39.57,21.592,31.86
53.325,37.228,29.92,10.176,18.337,24.175,14.523,12.813,55.074,52.129,15.828,26.518,48.228,25.124,21.595,34.24,65.874,40.408,10.212,46.827,15.916,15.788,7.891,21.033,38.79,62.951,12.055,40.168,16.08,39.153,21.334,31.455
52.903,37.228,29.617,10.058,18.219,23.897,14.28,12.618,54.596,52.254,15.674,26.308,47.906,24.83,21.532,34.031,65.266,40.292,10.161,46.492,15.813,15.581,7.86,20.737,38.656,62.962,11.945,39.952,15.891,38.736,21.079,31.048
52.483,37.207,29.317,9.9488,18.103,23.621,14.04,12.426,54.121,52.357,15.522,26.1,47.586,24.539,21.465,33.806,64.639,40.152,10.117,46.141,15.717,15.383,7.837,20.448,38.505,62.93,11.843,39.722,15.703,38.319,20.825,30.638
52.065,37.167,29.018,9.8479,17.988,23.348,13.802,12.237,53.65,52.439,15.371,25.892,47.268,24.25,21.395,33.566,63.995,39.986,10.079,45.776,15.625,15.194,7.8216,20.165,38.336,62.858,11.748,39.479,15.518,37.903,20.573,30.227
51.649,37.107,28.723,9.7551,17.873,23.076,13.568,12.05,53.183,52.501,15.221,25.685,46.951,23.963,21.321,33.311,63.334,39.798,10.046,45.397,15.539,15.015,7.8135,19.89,38.151,62.746,11.659,39.223,15.335,37.486,20.323,29.814
51.235,37.028,28.429,9.6702,17.76,22.807,13.336,11.866,52.719,52.543,15.072,25.48,46.636,23.679,21.244,33.042,62.658,39.587,10.02,45.005,15.458,14.845,7.8127,19.621,37.95,62.596,11.576,38.956,15.154,37.069,20.076,29.4
50.823,36.932,28.138,9.5928,17.647,22.54,13.107,11.684,52.259,52.566,14.924,25.275,46.322,23.397,21.164,32.76,61.967,39.355,9.9981,44.6,15.382,14.683,7.8187,19.359,37.734,62.408,11.5,38.677,14.975,36.652,19.83,28.984
50.413,36.818,27.85,9.5228,17.535,22.275,12.881,11.505,51.802,52.571,14.777,25.072,46.01,23.117,21.081,32.465,61.262,39.101,9.982,44.182,15.31,14.53,7.8313,19.103,37.503,62.184,11.429,38.387,14.798,36.235,19.586,28.567
50.005,36.688,27.563,9.4598,17.424,22.013,12.658,11.329,51.35,52.558,14.631,24.869,45.7,22.84,20.995,32.158,60.544,38.828,9.9709,43.754,15.243,14.385,7.8503,18.853,37.259,61.925,11.364,38.087,14.623,35.818,19.344,28.15
49.599,36.542,27.28,9.4035,17.314,21.752,12.437,11.155,50.9,52.528,14.486,24.668,45.391,22.565,20.906,31.84,59.815,38.536,9.9646,43.314,15.18,14.247,7.8753,18.61,37.001,61.632,11.304,37.777,14.45,35.402,19.105,27.731
